Instance name,CNF-to-DRAT time (ms),DRAT size (bytes),DRAT-to-LRAT time (ms),DRAT-to-LRAT peak memory usage (kb),LRAT-from-DRAT size (bytes),LRAT-from-DRAT verification time (ms),CNF-to-FRAT time (ms),FRAT size (bytes),FRAT-to-LRAT time (ms),FRAT-to-LRAT peak memory usage (kb),Temporary file size (bytes),LRAT-from-FRAT size (bytes),LRAT-from-FRAT verification time (ms)
hwb-n26-03-S540351185.sat05-490.reshuffled-07-sc2007,1788990,769901842,4199770,2999500,2187925448,69730,1860594,1764322803,211000,65152,981599227,2005079262,65436
hwmcc10-timeframe-expansion-k45-pdtpmspalu-tseitin-sc2011,2724690,3646955441,348620,3469628,569680607,15320,2750463,5426895470,138700,284828,215562320,442154623,12261
hwmcc15deep-6s516r-k18-sc2017,1133040,4568971017,1796370,6561056,4926013173,127410,1254067,8070441201,329490,180488,2287984292,4612646368,120691
hwmcc15deep-oski15a10b10s-k22-sc2017,2283300,1681381754,897730,2461316,1183755495,32080,2479623,4190546016,183810,419204,856426924,1771108087,44876
manthey_single-ordered-initialized-w50-b7-sr2015,1589120,745019207,2346210,2671284,2442904458,73990,1621448,2001752355,188150,103556,1170065705,2422570813,73028
maxxor032-sc2011,34550,103647358,13510,182440,50467886,1420,39036,192562768,6780,31056,30795143,65748352,1864
minxorminand128-sc2009,1404030,7710233133,873590,8666116,4955881163,132500,1520835,11746693739,810420,413708,3451183703,7087520310,184523
mod2c-3cage-unsat-10-3.sat05-2568.reshuffled-07-sc2007,2928370,4705884783,11304700,16788356,10336173905,failed,2973442,8497246412,829180,98184,4498085173,9754750652,failed
pb_300_10_lb_08-sc2014,108740,117957763,39300,254924,87496371,2550,133491,292074679,15840,197116,45786182,99238098,2847
ps_5000_21250_3_0_0.8_0_1.55_2-sc2017,1507700,616076564,1500190,3348684,2938197845,94000,1575412,2351802975,213440,70832,1370162492,2904695667,90287
rubikcube701-sc2017,2511740,519362159,3460060,2119596,1914538251,65320,2175643,1489288464,196050,102772,851730719,1776681056,56668
size_4_4_4_i0418_r8,213240,154081383,328800,664860,528795242,16170,198698,417206246,38670,35216,237070959,496920100,15226
size_4_4_4_i0566_r8,576530,304306575,1124840,1374472,1168231608,35760,513876,860984361,82190,47328,497955574,1036018575,31934
size_4_4_4_i2704_r8,427390,268702151,722120,1196524,1019092465,30080,442021,760510804,66960,43000,432566920,902933391,27425
size_4_4_4_i3499_r8,385300,262270241,662050,1194684,1001070210,30100,395021,741101209,64780,43188,413930674,853386294,26211
size_4_4_4_i4096_r8,228470,168813315,324540,761396,604637972,18040,244610,463266220,39950,37276,256057884,531904386,16281
size_4_4_4_i4295_r8,205630,147088238,307200,652264,526206170,16200,192354,408411435,35320,35368,233649897,490920405,15079
